"","ID code","PDINY01","PDINY02","PDINY03","PDINY04","PDINY05","PDINY06","PDINY07","PDINY08","PDINY09","PDINY10","PDINY11","PDINY12","PDINY13","PDINY14","PDINY15","PDINY16","PDINY17","PDINY18","PDINY19","PDINY20","PDINY21","PDIDI01","PDIDI02","PDIDI03","PDIDI04","PDIDI05","PDIDI06","PDIDI07","PDIDI08","PDIDI09","PDIDI10","PDIDI11","PDIDI12","PDIDI13","PDIDI14","PDIDI15","PDIDI16","PDIDI17","PDIDI18","PDIDI19","PDIDI20","PDIDI21","PDIPR01","PDIPR02","PDIPR03","PDIPR04","PDIPR05","PDIPR06","PDIPR07","PDIPR08","PDIPR09","PDIPR10","PDIPR11","PDIPR12","PDIPR13","PDIPR14","PDIPR15","PDIPR16","PDIPR17","PDIPR18","PDIPR19","PDIPR20","PDIPR21","PDICO01","PDICO02","PDICO03","PDICO04","PDICO05","PDICO06","PDICO07","PDICO08","PDICO09","PDICO10","PDICO11","PDICO12","PDICO13","PDICO14","PDICO15","PDICO16","PDICO17","PDICO18","PDICO19","PDICO20","PDICO21"
"823","6z7kciEU","1","1","1","0","1","1","1","0","1","1","0","1","1","0","1","0","1","0","0","1","1","4","4","4","0","4","3","2","0","3","5","0","4","5","0","5","0","5","0","0","3","5","4","4","4","0","4","4","4","0","4","4","0","4","5","0","5","0","5","0","0","3","5","4","4","4","0","4","4","4","0","4","4","0","4","4","0","5","0","5","0","0","3","5"
"824","LwXjS2NM","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","3","4","4","4","4","4","0","0","0","0","0","4","4","4","0","0","0","0","4","0","1","2","4","4","4","4","4","0","0","0","0","0","4","4","4","0","0","0","0","3","0","0","3","4","4","4","4","4","0","0","0","0","0","4","3","4","0","0","0","0","3","0"
"825","5E4RknDB","1","0","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","1","0","2","0","1","0","2","1","1","0","0","1","0","0","0","0","0","1","0","1","0","1","0","3","0","4","0","3","4","4","0","0","1","0","0","0","0","0","2","0","3","0","3","0","3","0","5","0","3","4","4","0","0","3","0","0","0","0","0","3","0","3","0","3","0"
"826","XBezrH2u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"827","B90o79zK","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","5","0","3","0","0","0","0","0","0","0"
"828","89wCgGwn","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"829","fAc45B35","1","0","1","0","0","1","1","0","1","0","0","1","1","1","1","1","0","0","0","1","0","1","0","4","0","0","2","1","0","1","0","0","1","2","1","1","1","0","0","0","1","0","2","0","5","0","0","2","3","0","1","0","0","1","3","1","1","1","0","0","0","1","0","1","0","5","0","0","1","3","0","4","0","0","2","1","1","1","1","0","0","0","1","0"
"830","C8L0DxwK","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","1","0","2","0","0","3","0","0","0","3","0","0","0","0","0","0","0","1","0","0","3","3","0","3","0","0","3","0","0","0","4","0","0","0","0","0","0","0","3","0","0","3","4","0","4","0","0","3","0","0","0","5","0","0","0","0","0"
"831","9OlpEq6w","0","0","1","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","5","0","0","3","1","1","0","0","0","0","0","0","0","0","5","0","0","0","4","0","0","3","0","0","3","1","3","0","0","0","0","0","0","0","0","4","0","0","0","5","0","0","5","0","0","1","5","5","0","0","0","0","0","0"
"832","KDsY1wNK","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","3","0","4","0","0","0","0","0","0"
"833","KArBoWqE","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"834","eUHIUFpm","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","3","0","0","2","4","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","2","0","0","3","2","0","0","0","0","0","0","3","0","0","0","3","0","0","0"
"835","sfHQ9ho8","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"836","CYtCkyiv","1","1","1","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","3","1","2","0","0","4","3","3","1","0","0","0","0","0","5","0","0","0","0","2","0","3","2","3","0","0","5","5","4","1","0","0","0","0","0","5","0","0","0","0","2","0","2","2","5","0","0","4","5","3","3","0","0","0","0","0","2","0","0","0","0","3","0"
"837","Qd61jC4P","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
